Game Type:,Hive-PLM
TotNrGames:,194
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black wins, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
HV-Eucalyx-Bechster-2015-07-29-1331,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM+0+0wQ+0-1bL+1+0bA1-1+2wA1-1+1bQ+1+1wP-1+0&title=HV-Eucalyx-Bechster-2015-07-29-1331%20::%20N:2%20whitewin:100%25%20blackwin:0%25%20draw:0%25,2,2,100.0,0,0.0,0,0.0,"HV-Eucalyx-Bechster-2015-07-29-1331, T!HV-Eucalyx-Mach3Racer-2018-05-04-0842, ","",""
HV-dodger-Eucalyx-2015-07-20-1113,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM+0+0wP-1+1bA1-3+2bQ+2-1wQ-1+0wA1-2+1bG1+1+0&title=HV-dodger-Eucalyx-2015-07-20-1113%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-dodger-Eucalyx-2015-07-20-1113, ",""
HV-dodger-Eucalyx-2015-07-21-1128,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+2+0bQ+2-1wG1+0+0bA1+1+1wS1+3-2bP+1+0wQ-1+0&title=HV-dodger-Eucalyx-2015-07-21-1128%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-dodger-Eucalyx-2015-07-21-1128, ",""
HV-Dumbot-Eucalyx-2015-07-21-0231,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+1+0wL-2+2bQ+2-1wQ-1+0wP+0+0bA1-2+0wS1-1+1&title=HV-Dumbot-Eucalyx-2015-07-21-0231%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Dumbot-Eucalyx-2015-07-21-0231, ",""
HV-Eucalyx-dodger-2015-07-20-1148,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ-1-1bL+1+0wM+0+0bB1+1+0bQ+2+0wA1-2+0wP-1+0&title=HV-Eucalyx-dodger-2015-07-20-1148%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Eucalyx-dodger-2015-07-20-1148, ","",""
HV-Eucalyx-ewjimmy-2015-07-23-1124,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM+0+0wP-1+0wA1-2+0bL+1+0wQ+0-1bA1-3+0bQ+1+1&title=HV-Eucalyx-ewjimmy-2015-07-23-1124%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Eucalyx-ewjimmy-2015-07-23-1124, ","",""
HV-Eucalyx-ewjimmy-2015-07-23-1209,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wP-1+0bA1+2-1bP+1+2bQ+1+1wM+0+0wA1-2+0bL+1+0&title=HV-Eucalyx-ewjimmy-2015-07-23-1209%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Eucalyx-ewjimmy-2015-07-23-1209, ","",""
HV-tanksc-Eucalyx-2015-07-04-1324,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wA1-1+0bM+2+0wM-1+1bA1+2-1bL+1+0bQ+1+1wG1+0+0&title=HV-tanksc-Eucalyx-2015-07-04-1324%20::%20N:2%20whitewin:0%25%20blackwin:100%25%20draw:0%25,2,0,0.0,2,100.0,0,0.0,"","HV-tanksc-Eucalyx-2015-07-04-1324, T!HV-tanksc-Eucalyx-2015-07-05-1213, ",""
T!HV-Eucalyx-tanksc-2015-07-05-1244,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0wQ-1-1bA1-2-1wP+0-1bQ+2-1wA1-1+0bP+1+0&title=T!HV-Eucalyx-tanksc-2015-07-05-1244%20::%20N:2%20whitewin:50%25%20blackwin:50%25%20draw:0%25,2,1,50.0,1,50.0,0,0.0,"T!HV-Eucalyx-shogi-2015-06-16-1304, ","T!HV-Eucalyx-tanksc-2015-07-05-1244, ",""
T!HV-Eucalyx-tanksc-2015-07-06-1144,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bA2+0+2wG1+0+0bA1+2-1wQ+0-1bP+1+0wA1+2+1&title=T!HV-Eucalyx-tanksc-2015-07-06-1144%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-Eucalyx-tanksc-2015-07-06-1144, ",""
T!HV-tanksc-Eucalyx-2015-07-05-1259,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bM+2+0bL+1+0wG1+0+0bA1+2-1wA1+1+2wQ+0-1&title=T!HV-tanksc-Eucalyx-2015-07-05-1259%20::%20N:2%20whitewin:100%25%20blackwin:0%25%20draw:0%25,2,2,100.0,0,0.0,0,0.0,"T!HV-tanksc-Eucalyx-2015-07-05-1259, HV-shogi-Eucalyx-2015-06-16-1348, ","",""
T!HV-tanksc-Eucalyx-2015-07-06-1219,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1+2-1bM+2+0bQ+1+1wA1+0+2wL+0+0wQ+0-1bL+1+0&title=T!HV-tanksc-Eucalyx-2015-07-06-1219%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-tanksc-Eucalyx-2015-07-06-1219, ","",""
T!HV-Eucalyx-ewjimmy-2015-06-11-1409,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wB1-1+1bQ+1+1bA1+2-1bM+2+0wA1-1+0bP+1+0wG1+0+0&title=T!HV-Eucalyx-ewjimmy-2015-06-11-1409%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-ewjimmy-2015-06-11-1409, ","",""
