Game Type:,Hive-PLM
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black games, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
HV-Bechster-Dumbot-2015-04-10-1811,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bQ+2+1wA1-1-1bL+1+1bM+2+0wA2+0-2bA1+1+0wS1+0+0&title=HV-Bechster-Dumbot-2015-04-10-1811%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Bechster-Dumbot-2015-04-10-1811, ","",""
HV-ChuckBeard-Dumbot-2015-04-08-1207,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0wQ+1-2wS2+0-1bL+1+1wA1+2-3bQ+2-1bP+2+1bG1+1+0&title=HV-ChuckBeard-Dumbot-2015-04-08-1207%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-ChuckBeard-Dumbot-2015-04-08-1207, ",""
HV-Dumbot-Bechster-2015-04-10-1834,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+2-1bS1+1+0wQ-1+0wL+0+0wS2-2+1bA1-1-1wS1-1+1&title=HV-Dumbot-Bechster-2015-04-10-1834%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Dumbot-Bechster-2015-04-10-1834, ",""
HV-Dumbot-kdladage-2015-04-09-0504,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1-3-1wA1+0+0wG1-1-1wQ-2-1wS1+0-1bQ+1+1bG1+1+0&title=HV-Dumbot-kdladage-2015-04-09-0504%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-kdladage-2015-04-09-0504, ","",""
HV-Dumbot-kdladage-2015-04-10-0508,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bG2-3+0wQ-2+0wM+0+0wB1-1+0wS1-1+1bQ+2-1bG1+1+0&title=HV-Dumbot-kdladage-2015-04-10-0508%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-kdladage-2015-04-10-0508, ","",""
HV-Dumbot-kdladage-2015-04-10-0523,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wB1-1-1bB1+1+1bP+2+0wP-2+0wQ-1+0bG1+1+0bQ+2-1wS1+0+0&title=HV-Dumbot-kdladage-2015-04-10-0523%20::%20N:1%20whitewin:0%25%20blackwin:0%25%20draw:100%25,1,0,0.0,0,0.0,1,100.0,"","","HV-Dumbot-kdladage-2015-04-10-0523, "
HV-Dumbot-preve-2015-04-07-2153,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS2-1+1bG1+1+0bQ+2-1bA1+0-2wQ-1-1wS1+0+0wA1-1+0&title=HV-Dumbot-preve-2015-04-07-2153%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Dumbot-preve-2015-04-07-2153, ",""
HV-Dumbot-preve-2015-04-10-1546,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0-1wQ-1-1bA1-2-1wM+0+0wL-1+0bQ+2-1bG1+1+0&title=HV-Dumbot-preve-2015-04-10-1546%20::%20N:1%20whitewin:0%25%20blackwin:0%25%20draw:100%25,1,0,0.0,0,0.0,1,100.0,"","","HV-Dumbot-preve-2015-04-10-1546, "
HV-isearch12-Dumbot-2015-04-10-0030,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bS2+3-1bM+2+0bS1+1+0wP-1+1bQ+2+1wS1+0+0wQ+0-1wA1-1+0&title=HV-isearch12-Dumbot-2015-04-10-0030%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-isearch12-Dumbot-2015-04-10-0030, ",""
HV-kdladage-adamistic-2015-04-07-0258,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wB1+0+0bB1+1+1bP+1+0bA1+2+1wG1+0+0bQ+2+0wQ+0-1&title=HV-kdladage-adamistic-2015-04-07-0258%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-kdladage-adamistic-2015-04-07-0258, ",""
HV-kdladage-Dumbot-2015-04-08-0331,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bP+1+1bM+2+0bG1+1+0wA1-1+1bQ+1+2wM-1+0wG1+0+0&title=HV-kdladage-Dumbot-2015-04-08-0331%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-kdladage-Dumbot-2015-04-08-0331, ",""
HV-nevir-guest-2015-04-09-0539,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1-1+0wQ+0-1bA1-2+1bP+1+0bQ+1+1wS1+1-2wG1+0+0&title=HV-nevir-guest-2015-04-09-0539%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-nevir-guest-2015-04-09-0539, ",""
HV-osnoca-Dumbot-2015-04-08-0433,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bS1+1+0bB1+2+0wG1-1+0wS1+0+0bQ+2+1bG1+2-1wQ-1-1wS2+0-1&title=HV-osnoca-Dumbot-2015-04-08-0433%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-osnoca-Dumbot-2015-04-08-0433, ",""
HV-osnoca-Dumbot-2015-04-08-0434,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP-1-1bB1+1+0wB1+0-1bQ+3-2wS1+0+0wQ-1+0bP+2-1bB2+2-2&title=HV-osnoca-Dumbot-2015-04-08-0434%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-osnoca-Dumbot-2015-04-08-0434, ",""
HV-preve-Bechster-2015-04-09-2056,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP+1+0wQ+0-1bM+2-1wG1+0+0bQ+1+1wA1+3+0bA1+2+0&title=HV-preve-Bechster-2015-04-09-2056%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-preve-Bechster-2015-04-09-2056, ",""
