Quodlibet statistics - two bug opening 
Total nr of Hive-PLMgames processed:,216
White opening (player) - Black counter, Fraction of player wins, Fraction of player losses, Fraction of draws, Nr of games, List of games won, List of games lost, List of games drawn 
wA - bB,1.0,0.0,0.0,1,"HV-Quodlibet-Dumbot-2018-06-15-2328, ","",""
wA - bL,0.0,1.0,0.0,2,"","",""
wB - bL,0,0,0,0,"","",""
wG - bG,0.0,1.0,0.0,1,"","",""
wG - bL,0.14285714285714285,0.8571428571428571,0.0,7,"HV-Quodlibet-Jewdoka-2018-10-10-0140, ","",""
wG - bP,0,0,0,0,"","",""
wL - bB,1.0,0.0,0.0,3,"HV-Quodlibet-tabarisch-2015-02-16-0245, HV-Quodlibet-ringersoll-2017-04-28-2302, T!HV-Quodlibet-bluess-2018-04-27-1719, ","",""
wL - bG,1.0,0.0,0.0,12,"HV-Quodlibet-Figgledee-2015-02-24-2006, HV-Quodlibet-guest-2015-01-17-1416, HV-Quodlibet-Figgledee-2015-01-20-1815, T!HV-Quodlibet-dai-2015-05-19-1937, T!HV-Quodlibet-tzimarou-2017-07-07-2106, T!HV-Quodlibet-nevir-2017-05-05-0019, T!HV-Quodlibet-ruthhive-2018-06-09-1621, T!HV-Quodlibet-tzimarou-2018-05-13-1511, T!HV-Quodlibet-HappyKiwi-2019-07-14-1707, HV-Quodlibet-HappyKiwi-2019-07-21-1605, HV-Quodlibet-WeakBot-2019-07-27-0236, HV-Quodlibet-Dumbot-2019-11-28-0111, ","T!HV-Quodlibet-tzimarou-2016-09-19-1909, T!HV-Quodlibet-tzimarou-2016-09-19-1948, ",""
wL - bL,0.7884615384615384,0.19230769230769232,0.019230769230769232,52,"HV-Quodlibet-nevir-2015-04-23-1501, HV-Quodlibet-nevir-2015-02-15-0453, T!HV-Quodlibet-ewjimmy-2015-07-06-1937, T!HV-Quodlibet-ewjimmy-2015-07-06-2115, T!HV-Quodlibet-Fumanchu-2015-06-13-1458, T!HV-Quodlibet-Kobajagi-2015-06-24-1539, T!HV-Quodlibet-bluess-2015-05-13-0044, T!HV-Quodlibet-bluess-2015-05-13-0152, T!HV-Quodlibet-Eucalyx-2016-08-13-0216, T!HV-Quodlibet-Bechster-2016-07-08-1650, HV-Quodlibet-bitsofgreg-2016-07-19-0233, T!HV-Quodlibet-bitsofgreg-2016-07-22-0306, T!HV-Quodlibet-bitsofgreg-2016-07-22-0322, T!HV-Quodlibet-bitsofgreg-2016-06-22-0203, HV-Quodlibet-gabri-2016-05-15-1420, T!HV-Quodlibet-Jewdoka-2017-07-30-2321, T!HV-Quodlibet-tzimarou-2017-07-08-1502, T!HV-Quodlibet-Frasco92-2017-06-04-2209, T!HV-Quodlibet-Frasco92-2017-06-07-2147, TU!HV-Quodlibet-Radek0-2017-05-11-2006, T!HV-Quodlibet-Radek0-2018-07-16-1606, T!HV-Quodlibet-Radek0-2018-07-16-1725, HV-Quodlibet-ruthhive-2018-06-09-1601, T!HV-Quodlibet-ckunka-2018-06-13-2358, T!HV-Quodlibet-Dube-2018-06-19-2319, T!HV-Quodlibet-Shark-2018-05-06-1403, T!HV-Quodlibet-ringersoll-2018-05-20-2100, T!HV-Quodlibet-jewdoka-2018-05-30-0105, HV-Quodlibet-Jewdoka-2018-09-09-2109, HV-Quodlibet-Pseudomon-2018-08-29-1834, T!HV-Quodlibet-ringersoll-2019-04-23-0103, T!HV-Quodlibet-Eucalyx-2019-08-01-0321, TU!HV-Quodlibet-Eucalyx-2019-08-07-0308, T!HV-Quodlibet-tzimarou-2019-06-30-1934, T!HV-Quodlibet-stepanzo-2019-05-23-0502, T!HV-Quodlibet-Gandac-2019-05-29-1702, T!HV-Quodlibet-Jewdoka-2019-09-18-2354, HV-Quodlibet-aenorman43-2020-06-17-2005, T!HV-Quodlibet-aenorman43-2020-06-19-2103, T!HV-VYCMajor-Quodlibet-2020-05-11-1536, T!HV-davideg-Quodlibet-2020-05-16-2005, ","T!HV-Quodlibet-Fumanchu-2015-06-14-1508, T!HV-Quodlibet-Kobajagi-2015-06-17-1318, T!HV-Quodlibet-Jewdoka-2017-08-05-1628, T!HV-Quodlibet-stepanzo-2017-08-23-0336, T!HV-Quodlibet-ringersoll-2018-04-18-2330, T!HV-Quodlibet-Jewdoka-2019-06-22-0044, ","T!HV-Quodlibet-Jewdoka-2019-09-19-0108, "
wL - bM,1.0,0.0,0.0,3,"HV-Quodlibet-nevir-2015-02-03-0453, T!HV-Quodlibet-ewjimmy-2015-07-02-2007, T!HV-Quodlibet-ckunka-2018-06-07-0234, ","HV-Quodlibet-ringersoll-2015-03-17-0016, ",""
wL - bP,0.92,0.04,0.04,25,"HV-Quodlibet-Dumbot-2015-04-23-1838, T!HV-Quodlibet-tanksc-2015-07-12-1407, T!HV-Quodlibet-nevir-2015-07-23-0106, T!HV-Quodlibet-nevir-2015-07-23-2159, T!HV-Quodlibet-ewjimmy-2015-07-02-1922, T!HV-Quodlibet-Kobajagi-2015-06-16-2016, HV-Quodlibet-nevir-2015-05-03-1456, HV-Quodlibet-tanksc-2016-01-28-1340, T!HV-Quodlibet-Bechster-2016-07-10-1635, HV-Quodlibet-Bechster-2016-07-03-1603, T!HV-Quodlibet-bpalermo-2017-04-19-2159, T!HV-Quodlibet-stepanzo-2017-08-18-0215, T!HV-Quodlibet-16mk16-2017-06-04-1737, T!HV-Quodlibet-16mk16-2017-06-07-0417, T!HV-Quodlibet-iserp-2017-05-26-1403, T!HV-Quodlibet-iserp-2017-05-26-1449, T!HV-Quodlibet-Pseudomon-2018-08-25-1804, T!HV-Quodlibet-Dube-2018-06-03-2204, T!HV-Quodlibet-Jewdoka-2018-09-23-2315, T!HV-Quodlibet-Pseudomon-2018-08-31-1735, T!HV-Quodlibet-jbchaubet-2019-06-08-1900, T!HV-Quodlibet-Loizz-2019-09-08-1742, T!HV-Quodlibet-Loizz-2019-09-08-1912, ","T!HV-Quodlibet-Eucalyx-2016-08-14-0208, T!HV-Quodlibet-Eucalyx-2016-08-14-0251, T!HV-Quodlibet-Bechster-2016-07-08-1918, T!HV-Quodlibet-Jewdoka-2017-08-06-1536, T!HV-Quodlibet-Eucalyx-2017-05-20-0051, HV-Quodlibet-Jewdoka-2018-09-24-0026, T!HV-Quodlibet-Loizz-2019-08-25-1745, T!HV-Quodlibet-Eucalyx-2019-07-29-0206, T!HV-Quodlibet-Loizz-2019-09-01-1600, ","T!HV-Quodlibet-tanksc-2015-07-13-0147, "
wL - bS,1.0,0.0,0.0,6,"U!HV-Quodlibet-Dumbot-2015-04-20-0406, HV-Quodlibet-durugyakos-2015-03-03-1927, HV-Quodlibet-dai-2015-05-25-1914, T!HV-Quodlibet-dragonlord-2016-06-03-1951, T!HV-Quodlibet-Pseudomon-2019-05-13-0502, HV-Quodlibet-SmartBot1-2020-04-20-1433, ","",""
wM - bL,0.0,1.0,0.0,4,"","",""
wM - bM,1.0,0.0,0.0,1,"TU!HV-Quodlibet-axljka-2019-05-01-2000, ","",""
wM - bS,0,0,0,0,"","",""
wP - bL,0.0,1.0,0.0,5,"","",""
wP - bP,0.0,1.0,0.0,1,"","",""
wS - bL,0,0,0,0,"","",""

White opening - Black counter (player), Fraction of player wins, Fraction of player losses, Fraction of draws, Nr of games, List of games won, List of games lost, List of games drawn 
wA - bB,0,0,0,0,"","",""
wA - bL,0.5,0.5,0.0,4,"T!HV-Bechster-Quodlibet-2016-07-10-1609, T!HV-Radek0-Quodlibet-2018-07-16-1654, ","T!HV-Bechster-Quodlibet-2016-07-08-1759, T!HV-Bechster-Quodlibet-2016-07-08-1945, ",""
wB - bL,1.0,1.0,0.0,2,"HV-tabarisch-Quodlibet-2015-02-16-0254, T!HV-bluess-Quodlibet-2015-05-13-0031, ","",""
wG - bG,0.0,0.0,0.0,1,"","HV-Jewdoka-Quodlibet-2019-09-20-0204, ",""
wG - bL,0.65,0.65,0.05,20,"HV-nevir-Quodlibet-2015-02-03-0441, T!HV-tanksc-Quodlibet-2015-07-12-1340, T!HV-nevir-Quodlibet-2015-07-23-2107, T!HV-dai-Quodlibet-2015-05-19-1908, T!HV-dai-Quodlibet-2015-05-25-1902, T!HV-gabri-Quodlibet-2016-05-15-1446, T!HV-bpalermo-Quodlibet-2017-04-19-2208, T!HV-tzimarou-Quodlibet-2017-07-17-2103, T!HV-Eucalyx-Quodlibet-2019-08-05-0309, T!HV-HappyKiwi-Quodlibet-2019-07-14-1810, T!HV-tzimarou-Quodlibet-2019-06-30-2134, T!HV-aenorman43-Quodlibet-2020-06-17-2037, T!HV-VYCMajor-Quodlibet-2020-05-11-1609, ","T!HV-tanksc-Quodlibet-2015-07-13-0133, U!HV-jew-Quodlibet-2015-05-19-0336, T!HV-tzimarou-Quodlibet-2016-09-08-1942, T!HV-tzimarou-Quodlibet-2017-07-08-1423, T!HV-tzimarou-Quodlibet-2018-05-13-1555, T!HV-HappyKiwi-Quodlibet-2019-07-16-1305, ","HV-tzimarou-Quodlibet-2016-10-09-1407, "
wG - bP,1.0,1.0,0.0,2,"HV-Dumbot-Quodlibet-2015-04-27-1505, HV-tanksc-Quodlibet-2015-07-17-1502, ","",""
wL - bB,0,0,0,0,"","",""
